name,price,shipping,free_returns,items_sold,status
Shop on eBay,2000,,False,,Brand New
"HP Elitebook Revolve 810 G1 11.6"" | Core i5-3437U | 8GB PC3 | 128GB SSD",6650,1874,True,,Pre-Owned · HP · 128 GB
Dell Latitude Laptop Computer Windows 10 Core i3 PC 8GB Ram 250GB HD WiFi DVD,13499,0,True,0,Good - Refurbished · Dell · 250 GB
"Samsung ✅Chromebook Laptop 11.6"" Laptop Intel Dual-Core 16GB SSD Wifi ✅Webcam",7999,0,True,,Pre-Owned · Samsung · 16 GB
Dell Latitude 3189 Windows 11  Laptop 2-in-1 tablet  - 64GB SSD - 4GB 11.6 Touch,8900,0,True,,Pre-Owned · Dell · 4 GB
"Microsoft Surface Laptop 3 13.5"" TOUCHSCREEN Core i5 8GB RAM 256GB SSD W10",39900,0,False,0,
"Latitude 7480 14"" i5-6300U 2.4GHz, 16GB DDR4, 256GB SSD, Win 10Pro-Excellent",21900,0,False,0,
"HP 17-CN1053CL 17.3"" FHD IPS Laptop intel Core i5-1155G7 12GB  1TB Win11 4S324UA",36900,0,False,0,
"Dell Chromebook 11 3189 Touchscreen Laptop 2-in-1 11.6"" Celeron 4GB Ram 32GB SSD",5969,0,False,0,
HP ProBook X360-11-G1-EE  CELERON N3350@1.10GHz 4GB 256SSD WEBCAM TOUCHSCREEN,6499,495,False,71,
"MSI - GF63 15.6"" Gaming Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce ...",62999,0,False,445,
"Dell Chromebook 11 3189 Touchscreen Laptop 2-in-1 11.6"" Celeron 4GB Ram 32GB SSD",5969,0,True,0,Good - Refurbished · Dell · 32 GB
"HP 17-CN1053CL 17.3"" FHD IPS Laptop intel Core i5-1155G7 12GB  1TB Win11 4S324UA",36900,0,True,0,Certified - Refurbished · HP · 1 TB
"HP ProBook 640 G1 14"" Laptop Intel Core i5-4300 CPU 8GB 500GB Windows 10",11900,0,True,,Pre-Owned · HP · 500 GB
"Dell Chromebook 11 3189 Touchscreen Laptop 2-in-1 11.6"" Celeron 4GB Ram 32GB SSD",5969,0,False,0,
"HP 17-CN1053CL 17.3"" FHD IPS Laptop intel Core i5-1155G7 12GB  1TB Win11 4S324UA",36900,0,False,0,
"Microsoft Surface Laptop 3 13.5"" TOUCHSCREEN Core i5 8GB RAM 256GB SSD W10",39900,0,False,0,
"Latitude 7480 14"" i5-6300U 2.4GHz, 16GB DDR4, 256GB SSD, Win 10Pro-Excellent",21900,0,False,0,
"Dell Inspiron 13 5310 Laptop 13.3"" FHD+ Intel i5-11320H 512GB SSD 16GB Win11",49900,0,False,0,
"TouchScreen Acer Chromebook C738T 360 hinge 11.6"" Intel 1.6GHZ 4GB 16GB - Good",5999,0,False,0,
Dell Chromebook 11 3189 2 in 1 TouchScreen Intel Celeron 16GB 4GB Laptop - Good,5499,0,False,0,
"Microsoft Surface Laptop 3 15"" Touch AMD Ryzen 5 8GB 256GB ",41900,0,False,0,
"ASUS - 2-in-1 14"" Chromebook - Intel Core M3-8100Y - 8GB Memory - 64GB eMMC -...",37900,0,False,1219,Brand New · ASUS
New ListingMicrosoft Surface Laptop 2 i7/16GB/512GB Black,133,2699,True,,Pre-Owned · Microsoft · 16 GB
"Microsoft Surface Laptop 3 13.5"" TOUCHSCREEN Core i5 8GB RAM 256GB SSD W10",39900,0,True,0,Certified - Refurbished · Microsoft · 256 GB
"Dell Chromebook 11 5190 2-in-1 Touchscreen 11.6"" Intel N3350 1.1GHz 4GB 32GB SSD",4299,0,False,394,Pre-Owned · Dell · 32 GB
"Lenovo IdeaPad 5 Laptop, 15.6"" FHD IPS Touch, Ryzen 7 5825U, 16GB, 1TB SSD",69999,0,True,0,Brand New · Lenovo · 1 TB
"Lenovo IdeaPad 3 14""  FHD Laptop Intel Core i5-1135G7 8GB RAM 512GB SSD ",39999,0,True,0,Brand New · Lenovo · 512 GB
Dell Laptop Latitude Intel Core i5 16GB RAM 1TB HDD WIFI HDMI Windows 10 Pro PC,1299942995,0,True,0,Good - Refurbished
"HP 11  ✅Chromebook Laptop 11.6"" Laptop Intel Dual-Core 16GB SSD Wifi ✅Webcam",7999,0,True,,Pre-Owned · HP · 16 GB
CHUWI 14.1'' Laptop Computer Windows 11 Home PC 2.8GHz 8GB 256GB SSD Intel N4020,19999,0,True,,Brand New · Chuwi · 256 GB
"Acer - Predator Helios 300 - 15.6"" FHD 165Hz Gaming Laptop - Intel Core i7 - ...",,0,False,352,Brand New · Acer
"Lenovo ThinkPad T460 14"" Laptop Core i7-6600U 6th 2.60GHz  WebCam Backlit HDMI",1750039500,1500,False,489,Pre-Owned
New ListingDell XPS 13 9343 Core i7 / 8GB RAM,173,2499,True,,Pre-Owned · Dell · 512 GB
"Latitude 7480 14"" i5-6300U 2.4GHz, 16GB DDR4, 256GB SSD, Win 10Pro-Excellent",21900,0,True,0,Excellent - Refurbished · Dell · 256 GB
"Legion 5 Pro 16"" QHD Gaming Laptop 165Hz R7-6800H 16GB DDR5 1TB SSD RTX 3070Ti",139999,0,True,0,Brand New · Lenovo · 1 TB
"Lenovo - Ideapad Gaming 3 15.6"" FHD Laptop - Ryzen 5 5600H - 8GB Memory - NVI...",89999,0,False,1026,Brand New · Lenovo
New ListingHP Elitebook 840 G5 Core i5 1.60GHz,165,2499,True,,Pre-Owned · HP · 256 GB
"Dell Inspiron 13 5310 Laptop 13.3"" FHD+ Intel i5-11320H 512GB SSD 16GB Win11",49900,0,True,0,Certified - Refurbished · Dell · 512 GB
"Lenovo ThinkPad T470 14"" FHD Core i7-6600U 2.60GHz Webcam Backlit HDMI USB-C",1950047500,1500,False,20,Pre-Owned
"Acer Chromebook C731T 11.6"" Celeron 1.4GHz 4GB RAM FULL TOUCHSCREEN!!",3100,0,True,,Pre-Owned · Acer · 4 GB
New ListingDell Inspiron 3542 Core i3 1.90GHz Black,112,2499,True,,Pre-Owned · Dell · 1 TB
"Dell Fast Gaming laptop Intel E6530 i7 8G 256GB SSD HDD 15.6"" FHD Win 10 PRO ",19999,0,True,1008,Pre-Owned · Dell · 256 GB
"HP Probook 4440s 14"" Laptop Computer Core i3 8GB Ram 320GB Windows 10 PC HDMI",13995,0,True,0,Good - Refurbished · HP · 320 GB
Dell Latitude Gaming Laptop 16GB RAM 256GB NVMe SSD Core i7 3.9GHz Thunderbolt 3,46499,0,True,0,Excellent - Refurbished · Dell · 256 GB
"Lenovo IdeaPad 5 Laptop, 15.6"" FHD IPS Touch, Ryzen 5 5625U, 16GB, 512GB SSD",52900,0,True,0,Brand New · Lenovo · 512 GB
Dell Laptop Computer Latitude E6410 Core i5 Windows 10 8GB Ram 500GB HD DVD WiFi,14999,0,True,0,Very Good - Refurbished · Dell · 500 GB
"TouchScreen Acer Chromebook C738T 360 hinge 11.6"" Intel 1.6GHZ 4GB 16GB - Good",5999,0,True,0,Good - Refurbished · Acer
"HP 14 G1 CHROMEBOOK HDMI 14"" INTEL 1.60G 4GB 16GB SSD CHROME OS WiFi WEBCAM SD",5500,0,True,2696,Pre-Owned · HP · 16 GB
New ListingDell Inspiron 15 5559 Core i5 / 8GB RAM,181,2499,True,,Pre-Owned · Dell · 1 TB
Dell Chromebook 11 3189 2 in 1 TouchScreen Intel Celeron 16GB 4GB Laptop - Good,5499,0,True,0,Good - Refurbished · Dell · 16 GB
"Dell Latitude E5530 15"" Laptop Core i5-3230M 2.60GHz 4GB 320GB HDD Win 10 Pro",5351,0,True,69,Pre-Owned · Dell · 320 GB
"Microsoft Surface Laptop 3 15"" Touch AMD Ryzen 5 8GB 256GB ",41900,0,True,0,Certified - Refurbished
"Dell ChromeBook 3180 Laptop 11.6"" LED Celeron 2GB RAM 16GB SSD WiFi WebCam HDMI",3999,0,True,0,Good - Refurbished · Dell · 16 GB
Lenovo Thinkpad Yoga Touchscreen Laptop Computer Windows 10 4GB 128GB SSD HDMI,12499,0,True,0,Good - Refurbished · Lenovo · 128 GB
New ListingDell Inspiron 15 5570 Core i7 / 12GB RAM,188,2499,True,,Pre-Owned · Dell · 128 GB
"Dell Latitude 5480 14"" i7-6600U 16GB 256gb SSD Laptop Nvidia GeForce Win 10 pro",29999,0,True,0,Excellent - Refurbished · Dell · 256 GB
"HP 11 G4 CHROMEBOOK HDMI 11.6"" INTEL 2.16G 4GB 16GB SSD CHROME OS WiFi WEBCAM SD",4995,0,True,,Pre-Owned · HP · 16 GB
"New ListingMicrosoft Surface Book 2 15"" Core i7 16GB 1TB",99,2699,True,,Pre-Owned · Microsoft · 1 TB
"Dell - Inspiron 3511 15.6"" Touch Laptop - Intel Core i5 - 8GB Memory - 256GB ...",,0,False,1671,Brand New · Dell
"Dell Chromebook 3120 Touchscreen 11.6"" Notebook 4GB 16GB SSD Laptop WIFI Webcam",4555,0,False,,Pre-Owned · Dell · 16 GB
Dell 5190 ChromeBook - 2020 Model - USB C - TESTED WORKING - C GRADE TOUCHSCREEN,3236,0,True,296,Pre-Owned · Dell · 16 GB
"HP 11 G4 CHROMEBOOK HDMI 11.6"" INTEL 2.16G 4GB 16GB SSD CHROME OS WiFi WEBCAM SD",4995,0,True,,Pre-Owned · HP · 16 GB
New ListingDell Inspiron 5559 Core i7 2.5GHz,325,2499,True,,Pre-Owned · Dell · 1 TB
"Dell Latitude 5290 2-in-1 12.5"" i7-8650U 16GB 256GB SSD Win 10 Pro with charger",29900,0,True,99,Pre-Owned · Dell · 256 GB
New ListingHP Pavilion dv6 Core i3 2.13GHz,140,2499,True,,Pre-Owned · HP · 320 GB
"Thinkpad T470 i7-7600U 14"" FHD 16GB 512gb ssd Win pro 10 Pro Laptop Notebook",29499,0,True,0,Excellent - Refurbished · Lenovo · 512 GB
"Acer Chromebook C740 11.6""  Intel Celeron 1.4GHz 4GB RAM - TESTED",3616,0,True,,Pre-Owned · Acer · 16 GB
"MSI - GF63 15.6"" Gaming Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce ...",62999,0,False,445,Brand New · MSI
New ListingLenovo G560 Core i3 2.4GHz,162,2499,True,,Pre-Owned · Lenovo · 320 GB
"Samsung Chromebook 11.6"" XE303C12 Exynos 5 1.7GHz 16GB SSD 2GB Webcam",4795,0,True,,Pre-Owned · Samsung · 16 GB
New ListingMicrosoft Surface 1724 Laptop Intel Core i7-6650U @2.20GHz 16GB RA256 GB SSD W10,2000,2025,True,,Pre-Owned · Microsoft · 16 GB
Lenovo IdeaPad 3 14  FHD Laptop Intel Core i7-1165G7 8GB RAM 512GB SSD ,48999,0,True,0,Brand New · Lenovo
"DELL INSPIRON 16 7610 i7-11800H 16GB RAM 1TB SSD 16"" 3K QHD+ W11",69900,0,True,0,Certified - Refurbished · Dell · 1 TB
"Lenovo IdeaPad 5i Laptop, 15.6"" FHD Touch, Intel i5-1235U, 16GB, 512GB SSD",59299,0,True,0,Brand New · Lenovo · 512 GB
Lenovo Legion 5 Pro 16 165Hz QHD IPS G-Sync Ryzen 7 16GB RAM 1TB SSD RTX 3070,129999,0,True,0,Brand New · Lenovo · 16 GB
"HP Elitebook 840 G5 i5, 14"" FGD, 8 GB RAM ,256 SSD , Windows 10 Pro - Excellent",23799,0,True,0,Excellent - Refurbished · HP · 256 GB
"GIGABYTE AERO 16"" 4K/UHD+ AMOLED Laptop i7-12700H 16GB RAM 2TB SSD RTX 3070Ti",125999,0,True,354,Brand New · GIGABYTE
"HP Touchscreen 210 G1 11"" Laptop Computer Core i5 8GB 500GB Windows 10 HDMI WiFi",16999,0,True,0,Good - Refurbished · HP · 500 GB
Microsoft Surface Laptop Go 12.4in Touchscreen Intel i5 8GB 128GB SSD - 3 COLORS,32900,0,True,0,Certified - Refurbished
"ASUS - TUF Gaming A15 15.6"" FHD 144Hz Gaming Laptop-AMD Ryzen 7-8GB DDR5 Memo...",,0,False,596,Brand New · ASUS
Dell Chromebook 11 3120 - Intel Celeron N2840 - 4GB RAM - 16GB SSD,3999,0,True,0,Good - Refurbished · Dell · 16 GB
"Dell - Inspiron 15.6"" Laptop - AMD Ryzen 5 - 8GB Memory - 256GB Solid State D...",,0,False,962,Brand New · Dell
"Lenovo 11.6"" 300e Chromebook Touchscreen 2in1 32GB, MediaTek 2.1GHz 4GB Good",6999,0,True,0,Good - Refurbished · Lenovo · 32 GB
"Surface Pro 7 Bundle 12.3"" i5 8GB RAM 256GB SSD + Black Type Cover + Surface Pen",61999,0,True,0,Brand New · Microsoft · 256 GB
"Microsoft Surface Laptop 3 15"" Touchscreen AMD Ryzen 5 8GB RAM 128GB Windows 10",35900,0,True,0,Certified - Refurbished · Microsoft · 128 GB
"NEW Lenovo IdeaPad 3 CB 11IGL05 11.6"" (32GB eMMC, Intel N, 1.10GHz, 4GB)",6900,999,False,0,Brand New · Lenovo · 32 GB
"Acer Chromebook C910 Laptop Computer 13.3"" 4GB RAM 32GB SSD Wi-Fi HDMI Webcam",5450,0,True,0,Very Good - Refurbished · Acer · 32 GB
"Dell Latitude Laptop Computer 3180 11.6"" Pentium 4GB Ram 128GB SSD Windows 10",9999,0,True,0,Good - Refurbished · Dell · 128 GB
"Dell Laptop Latitude 14"" Computer Core i5 8GB Ram 256GB SSD Windows 10 PC WiFi",17999,0,True,0,Good - Refurbished · Dell · 256 GB
Shop on eBay,2000,,False,,Brand New
"Dell Laptop Latitude 14"" Computer Core i5 8GB Ram 256GB SSD Windows 10 PC WiFi",17999,0,True,0,Good - Refurbished · Dell · 256 GB
"Lenovo IdeaPad 5i Laptop, 15.6"" FHD IPS Touch, i7-1255U, 16GB, 1TB SSD",71098,0,True,0,Brand New · Lenovo · 1 TB
"Dell Latitude E6400 Laptop 14"" Intel Core2Duo 2.26GHz 2GB RAM 160GB Windows 7",7900,0,True,,Pre-Owned · Dell · 160 GB
